	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfReferences	NumOfReferencedBy	AffRepititions	ConfRepititions
105	1	1	3	55	1	8	8
106	1	1	3	81	4	20	14
107	1	1	1	25	17	4	3
108	1	1	1	34	3	0	18
109	1	1	1	26	3	0	6
110	1	1	1	22	1	0	1
111	1	1	1	22	1	0	1
112	0	0	1	0	0	6	4
113	0	0	1	0	0	6	4
114	0	0	1	0	0	6	4
115	1	1	1	9	0	0	2
116	1	1	1	9	0	3	3
117	1	1	1	9	0	2	2
118	0	0	1	13	10	1	1
119	0	0	1	16	10	11	12
120	0	0	1	13	10	2	2
121	1	1	1	20	3	0	1
122	1	1	1	23	3	0	5
123	1	1	1	20	1	4	6
124	1	1	1	18	30	0	4
125	1	1	1	13	23	1	1
126	1	1	1	13	23	0	2
127	0	0	1	31	0	1	2
128	1	1	1	18	30	0	4
129	1	1	1	18	31	0	8
130	0	0	1	16	10	11	12
131	0	0	1	13	10	2	2
132	1	1	1	15	4	0	1
133	1	1	1	15	4	0	1
134	1	1	1	15	4	1	1
135	1	1	1	15	4	0	1
136	1	1	1	37	11	0	1
137	1	1	1	37	11	0	2
138	1	1	1	37	11	0	2
139	1	1	1	37	11	0	2
140	1	1	2	77	20	4	4
141	1	1	1	13	15	3	2
142	1	1	1	13	15	2	1
143	1	1	1	13	15	0	1
144	1	1	1	13	15	2	1
145	1	1	1	13	15	1	1
146	0	0	1	13	2	0	1
147	1	1	1	0	0	0	1
148	1	1	1	0	0	0	1
149	1	1	1	0	0	3	1
150	0	0	1	2	0	0	2
151	0	0	1	29	5	0	1
152	0	0	1	29	5	0	1
153	0	0	1	29	5	0	1
154	0	0	1	29	5	1	1
155	0	0	1	29	5	0	1
156	1	1	1	36	11	0	4
157	1	1	1	38	11	0	5
158	1	1	1	23	11	1	4
159	1	1	1	25	11	0	4
160	1	1	1	33	10	0	2
161	1	1	5	167	439	60	39
162	0	0	1	21	7	3	2
163	0	0	1	20	7	1	1
164	1	1	1	32	4	0	1
165	1	1	1	32	4	0	9
166	1	1	1	32	4	1	1
167	1	1	1	23	3	4	5
168	0	0	2	43	3	6	4
169	0	0	1	31	3	0	35
170	0	0	3	50	5	39	21
171	0	0	1	23	3	3	2
172	0	0	1	20	0	3	2
173	0	0	1	20	0	3	2
174	0	0	1	30	0	2	3
175	1	1	1	20	1	4	1
176	0	0	1	25	0	0	6
177	0	0	1	25	0	1	4
178	0	0	1	25	0	0	2
179	0	0	2	25	0	2	6
180	1	1	1	0	5	1	1
181	1	1	1	13	15	6	5
182	1	1	1	13	15	0	2
183	1	1	1	13	15	6	3
184	1	1	1	13	15	3	2
185	1	1	1	35	2	0	4
186	1	1	1	33	2	2	2
187	1	1	1	29	2	0	1
188	1	1	1	31	33	1	15
189	1	1	1	22	26	0	5
190	1	1	3	84	32	1	25
191	0	0	1	14	0	0	2
192	0	0	1	14	0	0	2
193	1	1	1	26	5	0	2
194	1	1	2	42	3	12	7
195	0	0	1	2	0	0	9
196	0	0	2	0	0	8	10
197	1	1	1	4	0	0	29
198	0	0	1	0	0	0	3
199	0	0	1	0	0	0	3
200	0	0	1	0	0	9	6
201	1	1	1	18	70	0	1
202	1	1	1	45	27	8	8
203	1	1	1	39	24	0	2
204	1	1	1	39	24	2	2
205	1	1	1	37	11	0	2
206	1	1	1	37	11	0	2
207	1	1	1	37	11	0	2
208	1	1	1	0	10	1	1
209	1	1	2	72	2	2	6
210	0	0	1	18	0	0	1
211	0	0	1	18	0	0	1
212	0	0	1	21	10	0	2
213	0	0	3	74	10	15	8
214	0	0	1	21	10	3	2
215	0	0	1	21	10	3	2
216	0	0	1	33	0	3	2
217	0	0	1	18	0	0	1
218	1	1	2	66	9	1	5
219	1	1	2	102	12	1	37
220	1	1	1	30	1	1	1
221	0	0	1	0	0	8	8
222	0	0	1	0	0	1	1
223	1	1	1	20	10	0	8
224	1	1	1	17	10	0	7
225	1	1	2	60	3	0	28
226	1	1	2	56	1	8	5
227	1	1	1	17	10	1	4
228	1	1	1	17	10	0	4
229	1	1	1	0	0	1	1
230	1	1	1	14	2	2	1
231	1	1	1	34	3	0	20
232	1	1	1	34	3	0	8
233	1	1	2	77	9	2	4
234	0	0	1	0	0	0	1
235	0	0	1	0	0	0	1
236	0	0	1	0	0	0	1
237	0	0	1	11	5	2	2
238	1	1	1	34	12	6	8
239	1	1	1	36	12	0	14
240	1	1	1	30	11	0	2
241	1	1	1	14	6	1	1
242	1	1	1	0	0	1	1
243	1	1	1	0	0	1	1
244	1	1	1	0	0	0	1
245	1	1	1	0	0	1	1
246	1	1	1	17	0	0	1
247	1	1	1	17	0	1	1
248	1	1	5	72	13	56	43
249	0	0	1	37	7	0	25
250	0	0	1	32	7	0	6
251	1	1	1	30	18	20	4
252	1	1	1	29	18	4	4
253	0	0	1	20	11	0	6
254	0	0	1	20	11	6	6
255	1	1	1	16	6	3	3
256	0	0	1	3	2	6	6
257	1	1	1	24	11	2	2
258	1	1	1	14	6	4	1
259	1	1	1	14	6	2	1
260	1	1	1	14	6	2	1
261	1	1	1	23	0	0	2
262	1	1	1	23	0	0	1
263	0	0	1	16	4	0	2
264	0	0	1	16	4	0	2
265	0	0	1	16	4	0	2
266	0	0	1	16	4	0	2
267	0	0	1	16	4	0	1
268	1	1	1	22	5	5	3
269	1	1	2	44	6	24	11
270	1	1	1	0	1	2	1
271	1	1	1	25	6	7	4
272	0	0	1	0	0	0	1
273	0	0	1	0	0	0	2
274	1	1	1	0	0	0	3
275	1	1	2	71	2	0	8
276	1	1	1	35	2	4	4
277	1	1	1	21	1	0	27
278	1	1	1	19	1	0	9
279	1	1	1	13	15	0	1
280	1	1	1	13	15	4	4
281	1	1	1	13	15	2	1
282	1	1	1	28	43	7	9
283	1	1	1	23	40	3	3
284	1	1	1	23	40	2	2
285	1	1	1	35	0	1	1
286	1	1	1	35	0	1	1
287	1	1	1	35	0	1	1
288	1	1	1	27	0	3	2
289	1	1	1	25	0	3	1
290	1	1	1	25	0	1	1
291	1	1	1	25	0	1	1
292	0	0	1	33	1	8	8
293	0	0	1	13	1	8	8
294	0	0	1	33	1	16	8
295	0	0	1	0	0	8	8
296	0	0	1	20	3	0	3
297	0	0	1	18	3	0	1
298	1	1	1	20	6	0	2
299	1	1	2	20	7	6	4
300	0	0	1	0	0	4	2
301	0	1	1	0	0	4	4
302	0	0	1	0	0	12	7
303	1	1	1	0	1	0	5
304	1	1	1	0	1	0	3
305	0	0	1	22	2	0	2
306	0	0	1	24	3	0	4
307	0	0	1	22	2	0	6
308	1	1	1	22	33	0	3
309	1	1	1	57	40	7	15
310	1	1	2	51	8	0	38
311	1	1	2	52	9	0	19
312	1	1	1	29	4	0	23
313	1	1	1	21	6	0	8
314	1	1	1	14	5	0	3
315	1	1	1	33	25	0	5
316	1	1	1	29	6	0	17
317	1	1	1	50	25	0	11
318	1	1	1	33	25	0	5
319	1	1	1	58	26	0	15
320	1	1	1	33	25	0	5
321	1	1	1	29	26	0	2
322	1	1	1	23	3	0	2
323	1	1	1	23	3	0	2
324	1	1	4	125	65	100	50
325	1	1	1	50	2	0	3
326	1	1	1	23	8	0	20
327	1	1	1	25	12	0	1
328	0	0	1	19	8	0	7
329	1	1	2	81	14	0	10
330	1	1	1	25	12	0	1
331	1	1	1	25	12	0	1
332	1	1	1	25	12	0	1
333	1	1	2	49	9	0	3
334	1	1	1	0	8	6	4
335	1	1	1	39	7	0	2
336	1	1	1	39	6	1	1
337	1	1	3	35	1	9	5
338	1	1	2	15	0	6	3
339	1	1	1	12	0	2	2
340	1	1	1	47	28	0	4
341	1	1	2	63	39	0	9
342	1	1	2	63	39	14	8
343	0	0	1	26	11	0	18
344	1	1	3	93	39	21	13
345	1	1	1	14	6	2	1
346	1	1	1	14	6	2	1
347	1	1	1	15	16	1	1
348	1	1	1	0	31	2	2
349	1	1	1	0	42	9	9
350	1	1	1	68	16	12	12
351	1	1	1	228	38	108	108
352	1	1	1	85	27	18	18
353	1	1	1	21	1	2	1
354	1	1	1	21	1	2	1
355	1	1	1	21	1	4	2
356	0	0	1	18	0	0	1
357	0	0	1	18	0	7	8
358	0	0	1	18	0	2	2
359	1	1	1	13	23	0	2
360	0	0	1	0	0	5	5
361	0	0	5	27	13	25	25
362	0	0	1	0	0	5	5
363	1	1	1	19	1	0	1
364	0	0	2	41	24	6	6
365	0	0	2	39	24	4	4
366	1	1	1	27	41	6	3
367	1	1	1	30	41	99	18
368	1	1	1	35	41	6	15
369	0	0	2	56	10	0	14
370	0	0	2	43	9	0	4
371	1	1	1	0	3	0	4
372	1	1	2	24	7	3	6
373	1	1	1	0	3	0	10
374	0	0	1	20	3	0	3
375	1	1	1	0	7	8	8
376	0	0	1	17	12	2	2
377	1	1	1	0	7	2	2
378	1	1	3	58	9	24	16
379	1	1	1	34	3	0	10
380	1	1	1	21	17	0	2
381	1	1	1	19	15	2	2
382	1	1	1	19	15	2	2
383	1	1	1	19	15	2	2
384	1	1	1	29	37	4	1
385	1	1	2	209	66	36	36
386	1	1	1	40	24	4	6
387	1	1	1	76	31	6	6
388	1	1	1	54	29	6	6
389	0	0	1	30	1	2	1
390	0	0	1	21	7	3	2
391	1	1	1	0	3	2	2
392	1	1	3	77	11	99	50
393	1	1	2	58	5	9	5
394	0	0	1	30	0	0	3
395	0	0	1	29	0	3	3
396	1	1	1	31	12	3	3
397	1	1	1	29	12	0	1
398	1	1	1	29	12	0	1
399	1	1	1	0	0	0	1
400	1	1	1	0	0	0	1
401	1	1	1	0	0	1	1
402	0	0	4	59	7	2	45
403	0	0	2	4	0	0	17
404	0	0	2	8	0	0	23
405	1	1	1	22	3	0	17
406	0	0	1	20	3	0	3
407	1	1	1	77	38	36	54
408	1	1	3	378	169	54	54
409	1	1	1	154	57	54	54
410	1	1	2	15	0	6	3
411	1	1	1	14	4	2	2
412	1	1	1	16	38	4	4
413	1	1	2	35	42	42	36
414	1	1	1	16	38	6	6
415	1	1	1	14	4	2	2
416	1	1	1	17	0	0	1
417	1	1	1	28	3	0	4
418	1	1	1	23	3	0	1
419	1	1	1	19	2	0	1
420	1	1	1	23	4	2	1
421	1	1	1	15	3	6	3
422	0	0	1	0	0	0	2
423	1	1	2	17	3	30	17
424	1	1	1	0	4	2	1
425	1	1	1	0	4	11	2
426	1	1	1	0	5	0	25
427	1	1	1	0	4	0	4
428	1	1	1	0	6	4	4
429	1	1	1	22	0	0	1
430	1	1	1	22	0	0	1
431	1	1	1	22	0	0	1
432	1	1	1	22	0	1	1
433	1	1	1	14	3	6	2
434	1	1	1	14	3	0	1
435	1	1	1	14	3	0	1
436	1	1	1	14	3	3	1
437	1	1	1	43	7	0	48
438	1	1	1	30	7	0	4
439	1	1	1	31	7	0	8
440	0	0	1	21	1	9	3
441	0	0	1	21	1	0	1
442	1	1	1	0	0	0	1
443	1	1	1	0	0	0	2
444	1	1	1	0	0	0	1
445	1	1	1	30	2	0	1
446	1	1	1	30	2	0	1
447	1	1	1	30	2	0	9
448	1	1	1	30	2	0	1
449	1	1	1	0	3	0	8
450	1	1	2	32	8	8	4
451	1	1	1	29	5	0	2
452	1	1	1	28	5	0	1
453	1	1	1	29	5	2	4
454	1	1	1	29	5	0	3
455	1	1	1	29	5	0	2
456	1	1	1	28	5	1	1
457	1	1	1	28	5	0	1
458	1	1	1	28	5	0	1
459	1	1	1	36	3	0	30
460	1	1	1	36	3	0	48
461	1	1	1	13	1	6	84
462	1	1	1	51	2	0	6
463	1	1	2	78	6	0	72
464	1	1	1	35	23	6	6
465	1	1	1	29	14	6	12
466	1	1	2	93	27	30	24
467	1	1	6	234	80	162	150
468	1	1	2	45	37	12	24
469	0	0	1	14	1	1	1
470	0	0	1	14	1	1	1
471	0	0	1	14	1	0	1
472	0	0	1	14	1	1	1
473	0	0	1	14	1	1	4
474	1	1	2	42	53	66	28
475	1	1	1	26	38	4	5
476	1	1	1	16	15	2	1
477	1	1	1	15	2	1	2
478	1	1	1	16	3	11	24
479	0	0	1	33	0	0	4
480	0	0	1	22	0	0	1
481	0	0	1	22	0	0	1
482	1	1	2	23	6	0	12
483	1	1	1	20	5	6	9
484	1	1	3	43	9	0	27
485	0	0	1	19	2	0	3
486	0	0	1	19	2	0	3
487	1	1	2	19	2	0	6
488	0	0	1	22	0	0	1
489	0	0	1	22	0	0	6
490	0	0	1	22	0	0	1
491	0	0	1	22	0	0	1
492	0	0	1	22	0	0	1
493	1	1	1	38	6	2	1
494	1	1	1	50	8	3	2
495	1	1	1	50	8	2	2
496	1	1	1	0	0	5	5
497	1	1	4	83	17	55	60
498	1	1	4	83	17	55	60
499	1	1	1	30	0	0	45
500	1	1	1	62	3	0	125
501	1	1	1	24	0	0	10
502	0	0	1	18	0	0	8
503	0	0	1	18	0	0	2
504	1	1	2	38	4	0	14
505	0	0	1	38	14	48	18
506	1	1	4	101	98	18	14
507	1	1	2	38	4	18	8
508	1	1	2	38	4	0	14
509	1	1	3	64	18	0	22
510	1	1	3	74	51	18	8
511	0	0	2	41	24	6	6
512	0	0	1	39	7	0	29
513	0	0	1	32	7	0	7
514	1	1	2	62	38	10	10
515	1	1	1	20	6	0	2
516	0	0	1	22	0	0	6
517	0	0	1	22	0	0	1
518	0	0	1	22	0	0	1
519	0	0	1	22	0	0	1
520	1	1	1	39	20	7	7
521	1	1	1	38	19	1	1
522	1	1	1	38	19	1	1
523	1	1	1	47	20	2	4
524	1	1	1	0	5	0	2
525	0	0	1	17	0	0	1
526	0	0	1	20	0	0	2
527	0	0	1	17	0	1	1
528	1	1	4	159	46	4	28
529	1	1	1	37	12	0	4
530	1	1	1	70	2	3	3
531	1	1	1	51	2	1	1
532	1	1	1	0	4	0	2
533	1	1	1	0	4	4	1
534	1	1	1	0	4	0	4
535	1	1	1	9	0	0	3
536	1	1	1	9	0	0	2
537	1	1	1	10	2	5	5
538	1	1	2	44	17	10	10
539	1	1	2	56	9	10	15
540	1	1	1	34	15	5	5
541	1	1	1	1	9	5	5
542	1	1	1	67	0	3	5
543	1	1	1	69	0	3	4
544	0	0	4	152	13	32	55
545	0	0	4	152	13	32	55
546	1	1	1	68	0	4	21
547	1	1	4	177	9	6	29
548	0	0	1	19	4	0	14
549	0	0	2	102	6	6	9
550	0	0	1	46	1	3	12
551	0	0	1	10	4	0	4
552	0	0	1	27	0	0	4
553	1	1	2	66	9	0	62
554	1	1	1	51	6	0	85
555	1	1	1	31	6	0	25
556	1	1	3	104	34	0	62
557	1	1	1	14	5	0	12
558	1	1	1	24	6	0	12
559	1	1	4	103	36	39	48
560	1	1	1	42	6	0	61
561	1	1	2	127	8	0	205
562	1	1	1	42	2	0	12
563	1	1	2	61	35	0	24
564	1	1	1	0	3	0	12
565	1	1	1	24	3	0	1
566	1	1	1	24	3	0	1
567	1	1	1	14	3	0	1
568	1	1	1	14	3	1	1
569	1	1	1	14	3	1	1
570	1	1	5	155	53	132	76
571	1	1	1	32	13	44	25
572	1	1	1	23	13	20	11
573	1	1	1	27	0	1	1
574	1	1	1	27	0	1	1
575	1	1	1	27	0	1	1
576	1	1	2	47	1	12	12
577	1	1	1	34	0	4	12
578	1	1	1	25	0	0	2
579	1	1	2	32	4	0	5
580	0	0	1	39	2	0	27
581	1	1	4	94	6	16	10
582	0	0	1	34	2	0	13
583	0	0	1	34	2	0	9
584	1	1	4	98	6	24	16
585	1	1	1	29	5	0	2
586	1	1	2	64	5	4	8
587	1	1	2	64	5	6	6
588	1	1	2	64	5	4	4
589	1	1	1	29	5	0	2
590	1	1	1	29	5	2	2
591	1	1	1	29	5	0	2
592	0	0	1	29	4	1	1
593	0	0	1	23	0	0	2
594	1	1	1	24	0	0	2
595	1	1	1	24	0	2	4
596	1	1	2	56	0	22	16
597	0	0	1	23	0	0	2
598	1	1	1	35	0	1	1
599	1	1	1	35	0	1	1
600	1	1	2	38	26	0	4
601	1	1	2	38	26	4	4
602	1	1	1	15	8	0	2
603	1	1	2	38	26	4	4
604	1	1	1	0	0	3	3
605	1	1	1	32	2	0	3
606	1	1	1	32	2	3	3
607	1	1	1	32	2	3	3
608	1	1	1	32	2	0	3
609	1	1	1	0	0	0	3
610	1	1	1	0	0	3	3
611	1	1	1	19	1	3	3
612	1	1	1	43	12	0	18
613	1	1	1	34	12	0	2
614	1	1	1	34	12	0	3
615	1	1	1	34	12	1	1
616	1	1	1	15	91	0	1
617	1	1	1	15	91	1	1
618	1	1	1	15	91	1	1
619	1	1	2	48	7	0	8
620	1	1	1	26	0	2	2
621	0	0	1	11	2	1	2
622	0	0	1	25	0	0	6
623	1	1	1	24	2	0	5
624	1	1	1	28	0	0	5
625	0	0	1	25	0	9	3
626	1	1	1	28	0	0	6
627	0	0	1	23	1	0	11
628	1	1	1	28	0	9	5
629	1	1	1	28	0	0	5
630	1	1	1	0	4	9	5
631	1	1	3	62	53	18	13
632	1	1	1	24	2	0	5
633	0	0	1	25	0	9	9
634	1	1	1	29	5	0	4
635	1	1	1	29	5	0	3
636	1	1	1	29	5	0	2
637	1	1	1	28	5	0	1
638	1	1	1	28	5	0	1
639	1	1	1	28	5	0	1
640	1	1	1	70	2	3	3
641	1	1	1	11	5	1	1
642	1	1	1	22	0	1	1
643	1	1	1	22	0	0	1
644	1	1	1	22	0	0	1
645	0	0	1	35	2	0	1
646	0	0	1	35	2	0	1
647	0	0	1	35	2	0	1
648	0	0	1	35	2	2	2
649	0	0	1	35	2	0	1
650	1	1	1	27	0	1	1
651	1	1	1	27	0	1	1
652	1	1	1	16	2	1	4
653	1	1	1	16	2	7	2
654	1	1	1	16	2	4	2
655	1	1	1	16	2	0	2
656	0	0	1	25	0	0	2
657	1	1	2	38	12	2	6
658	1	1	1	16	0	0	22
659	1	1	1	17	0	0	4
660	1	1	1	15	0	0	2
661	1	1	1	19	4	21	18
662	1	1	1	14	4	1	1
663	1	1	1	32	17	0	1
664	1	1	1	37	17	0	3
665	1	1	2	63	50	4	4
666	1	1	2	131	67	0	37
667	1	1	1	26	2	0	2
668	1	1	1	26	2	1	1
669	1	1	1	26	2	1	1
670	1	1	2	16	40	42	36
671	1	1	1	16	38	6	6
672	1	1	1	34	3	1	1
673	1	1	1	34	3	1	1
674	1	1	1	34	3	1	1
675	1	1	1	34	3	1	1
676	1	1	1	0	0	11	12
677	1	1	1	14	3	0	1
678	1	1	1	14	3	0	1
679	1	1	1	16	2	11	12
680	1	1	1	24	2	0	2
681	1	1	1	24	2	1	1
682	1	1	1	10	2	2	2
683	1	1	1	0	0	0	1
684	1	1	1	0	0	1	1
685	1	1	1	24	3	1	1
686	1	1	1	24	3	1	1
687	1	1	2	16	3	20	10
688	1	1	1	18	14	0	1
689	0	0	1	24	6	0	4
690	1	1	1	18	14	0	1
691	1	1	1	18	14	0	1
692	0	0	1	17	0	2	3
693	1	1	1	25	13	2	2
694	1	1	1	28	0	2	1
695	1	1	1	28	0	0	1
696	1	1	1	28	0	0	1
697	1	1	1	42	9	11	8
698	1	1	1	33	9	0	1
699	1	1	1	24	2	0	18
700	1	1	1	17	2	2	1
701	1	1	1	17	2	0	1
702	1	1	1	43	2	1	1
703	1	1	2	87	16	10	10
704	1	1	1	22	2	0	2
705	1	1	1	22	4	0	5
706	1	1	2	52	8	6	6
707	1	1	1	32	4	3	3
708	1	1	1	42	5	0	12
709	1	1	1	32	4	0	6
710	1	1	2	69	1	12	36
711	1	1	1	23	0	0	6
712	1	1	1	20	0	0	6
713	1	1	1	22	1	0	54
714	1	1	1	30	1	6	6
715	1	1	1	30	1	0	6
716	1	1	1	20	0	0	12
717	1	1	1	30	1	6	6
718	1	1	1	26	0	0	6
719	1	1	2	11	0	4	4
720	1	1	1	0	0	0	2
721	1	1	2	11	0	2	4
722	1	1	1	12	1	4	4
723	1	1	1	12	1	2	2
724	1	1	1	27	42	1	1
725	1	1	1	27	42	0	1
726	1	1	2	47	8	10	10
727	1	1	1	25	4	2	2
728	1	1	1	50	5	0	37
729	1	1	3	147	33	21	12
730	1	1	1	15	5	0	5
731	1	1	6	220	41	42	27
732	1	1	1	33	4	7	2
733	1	1	1	33	4	7	2
734	1	1	1	0	12	2	2
735	0	0	1	21	23	2	2
736	1	1	2	21	35	4	4
737	0	0	1	24	5	2	2
738	1	1	2	59	16	2	4
739	1	1	1	23	6	5	10
740	1	1	2	75	10	6	6
741	1	1	1	32	0	2	2
742	1	1	1	32	0	2	2
743	0	0	2	0	2	2	6
744	1	1	1	30	2	0	8
745	1	1	2	67	17	66	96
746	1	1	1	39	2	0	32
747	1	1	1	60	3	0	200
748	1	1	1	24	10	0	1
749	1	1	1	26	10	0	2
750	1	1	2	53	3	7	12
751	1	1	1	0	13	1	1
752	1	1	1	0	13	0	10
753	1	1	1	0	14	1	7
754	1	1	1	0	13	1	3
755	1	1	1	20	2	1	1
756	1	1	1	20	2	3	3
757	0	0	1	22	0	0	8
758	0	0	1	2	4	0	10
759	0	0	1	22	0	0	6
760	0	1	1	1	5	0	7
761	0	0	1	0	4	0	1
762	0	1	1	3	5	0	23
763	0	0	1	22	0	0	6
764	1	1	1	16	3	0	1
765	1	1	1	16	3	0	1
766	1	1	1	27	11	11	8
767	1	1	1	26	11	3	3
768	1	1	1	16	2	7	2
769	1	1	1	16	2	4	2
770	1	1	1	16	2	0	2
771	1	1	2	66	5	6	12
772	1	1	2	64	5	4	8
773	1	1	1	29	5	2	4
774	1	1	1	29	5	2	4
775	1	1	1	29	5	0	4
776	0	0	1	27	4	1	1
777	1	1	6	210	34	63	29
778	1	1	1	41	12	0	19
779	1	1	6	186	49	56	25
780	1	1	3	107	21	0	48
781	1	1	2	74	15	21	8
782	1	1	1	38	0	0	4
783	1	1	1	26	12	3	3
784	1	1	1	34	3	0	4
785	1	1	1	17	13	1	1
786	1	1	1	17	13	1	1
787	1	1	2	55	3	16	8
788	0	0	1	31	3	0	34
789	0	0	2	50	3	26	16
790	0	0	1	23	3	2	2
791	0	0	1	20	0	2	2
792	0	0	1	20	0	2	2
793	1	1	1	32	4	0	9
794	1	1	1	32	4	0	1
795	1	1	3	19	24	0	85
796	1	1	3	19	24	0	85
797	1	1	2	19	21	0	29
798	1	1	2	19	21	0	29
799	1	1	1	16	11	0	1
800	1	1	2	61	25	0	317
801	1	1	2	61	25	0	317
802	1	1	2	64	9	0	254
803	1	1	1	22	1	9	14
804	1	1	1	14	1	0	28
805	1	1	1	32	6	0	14
806	0	0	1	0	0	1	14
807	1	1	1	3	10	0	28
808	0	0	1	0	0	0	14
809	1	1	1	9	2	1	34
810	0	0	1	14	1	0	14
811	1	1	8	299	25	27	386
812	1	1	2	74	2	0	43
813	1	1	2	74	2	0	43
814	1	1	2	55	1	2	31
815	1	1	1	24	18	0	43
816	1	1	2	59	1	5	40
817	1	1	2	68	1	0	28
818	1	1	2	68	1	0	28
819	1	1	2	72	1	4	56
820	1	1	2	72	1	4	56
821	0	0	1	14	1	0	14
822	0	0	1	0	0	0	14
823	1	1	1	0	5	0	14
824	1	1	1	3	10	0	28
825	0	0	1	0	0	0	14
826	1	1	1	31	12	0	3
827	1	1	1	31	12	0	3
828	1	1	1	0	3	0	6
829	1	1	2	51	197	9	4
830	1	1	3	54	237	27	14
831	1	1	1	22	130	0	1
832	1	1	1	45	12	0	24
833	1	1	7	207	65	72	30
834	1	1	4	113	51	0	62
835	1	1	3	78	41	27	11
836	1	1	1	40	0	0	5
837	0	0	1	14	1	0	2
838	1	1	1	26	25	0	3
839	0	0	2	59	10	40	20
840	0	0	1	24	12	24	9
841	1	1	1	51	59	10	28
842	1	1	1	37	54	4	7
843	1	1	1	25	49	0	42
844	1	1	1	47	62	16	35
845	1	1	1	25	3	0	1
846	1	1	1	25	3	0	1
847	1	1	1	42	13	0	8
848	1	1	3	41	31	15	13
849	1	1	1	19	13	5	1
850	1	1	1	21	2	2	6
851	1	1	5	81	50	0	138
852	1	1	1	0	3	0	6
853	1	1	2	22	18	10	12
854	1	1	2	22	12	0	12
855	1	1	1	25	9	0	12
856	1	1	2	22	12	0	12
857	1	1	3	42	25	0	19
858	1	1	1	21	2	2	6
859	1	1	1	22	9	5	6
860	1	1	1	21	2	2	6
861	1	1	1	0	3	0	6
862	1	1	1	0	9	0	6
863	1	1	2	22	18	10	12
864	1	1	2	59	7	0	25
865	0	0	1	40	5	0	10
866	0	0	1	40	5	0	15
